Item Set,Left Hand Side,Right Hand Side,Support,Confidence,Lift,Age_Group
"('Feeling_anxious',)",(),"('Feeling_anxious',)",0.47580645161290325,0.47580645161290325,1.0,22-23
"('Feeling_bored',)",(),"('Feeling_bored',)",0.4717741935483871,0.4717741935483871,1.0,22-23
"('Feeling_lonely',)",(),"('Feeling_lonely',)",0.40725806451612906,0.40725806451612906,1.0,22-23
"('Feeling_stressed',)",(),"('Feeling_stressed',)",0.47580645161290325,0.47580645161290325,1.0,22-23
"('Sleep_problems',)",(),"('Sleep_problems',)",0.43548387096774194,0.43548387096774194,1.0,22-23
"('Worried_about_future',)",(),"('Worried_about_future',)",0.49193548387096775,0.49193548387096775,1.0,22-23
"('Feeling_bored', 'Feeling_anxious')",(),"('Feeling_bored', 'Feeling_anxious')",0.22580645161290322,0.22580645161290322,1.0,22-23
"('Feeling_bored', 'Feeling_anxious')","('Feeling_anxious',)","('Feeling_bored',)",0.22580645161290322,0.47457627118644063,1.0059394466174125,22-23
"('Feeling_bored', 'Feeling_anxious')","('Feeling_bored',)","('Feeling_anxious',)",0.22580645161290322,0.4786324786324786,1.0059394466174125,22-23
"('Feeling_stressed', 'Feeling_anxious')",(),"('Feeling_stressed', 'Feeling_anxious')",0.22983870967741934,0.22983870967741934,1.0,22-23
"('Feeling_stressed', 'Feeling_anxious')","('Feeling_anxious',)","('Feeling_stressed',)",0.22983870967741934,0.48305084745762705,1.0152255099109448,22-23
"('Feeling_stressed', 'Feeling_anxious')","('Feeling_stressed',)","('Feeling_anxious',)",0.22983870967741934,0.48305084745762705,1.0152255099109448,22-23
"('Worried_about_future', 'Feeling_anxious')",(),"('Feeling_anxious', 'Worried_about_future')",0.2661290322580645,0.2661290322580645,1.0,22-23
"('Worried_about_future', 'Feeling_anxious')","('Feeling_anxious',)","('Worried_about_future',)",0.2661290322580645,0.559322033898305,1.136982495137538,22-23
"('Worried_about_future', 'Feeling_anxious')","('Worried_about_future',)","('Feeling_anxious',)",0.2661290322580645,0.540983606557377,1.136982495137538,22-23
"('Feeling_bored', 'Feeling_stressed')",(),"('Feeling_bored', 'Feeling_stressed')",0.24596774193548387,0.24596774193548387,1.0,22-23
"('Feeling_bored', 'Feeling_stressed')","('Feeling_bored',)","('Feeling_stressed',)",0.24596774193548387,0.5213675213675214,1.0957554686368245,22-23
"('Feeling_bored', 'Feeling_stressed')","('Feeling_stressed',)","('Feeling_bored',)",0.24596774193548387,0.5169491525423728,1.0957554686368245,22-23
"('Feeling_bored', 'Worried_about_future')",(),"('Feeling_bored', 'Worried_about_future')",0.23387096774193547,0.23387096774193547,1.0,22-23
"('Feeling_bored', 'Worried_about_future')","('Feeling_bored',)","('Worried_about_future',)",0.23387096774193547,0.4957264957264957,1.0077063191817288,22-23
"('Feeling_bored', 'Worried_about_future')","('Worried_about_future',)","('Feeling_bored',)",0.23387096774193547,0.47540983606557374,1.0077063191817288,22-23
"('Sleep_problems', 'Feeling_stressed')",(),"('Sleep_problems', 'Feeling_stressed')",0.23790322580645162,0.23790322580645162,1.0,22-23
"('Sleep_problems', 'Feeling_stressed')","('Feeling_stressed',)","('Sleep_problems',)",0.23790322580645162,0.5,1.1481481481481481,22-23
"('Sleep_problems', 'Feeling_stressed')","('Sleep_problems',)","('Feeling_stressed',)",0.23790322580645162,0.5462962962962963,1.1481481481481481,22-23
"('Feeling_stressed', 'Worried_about_future')",(),"('Feeling_stressed', 'Worried_about_future')",0.2701612903225806,0.2701612903225806,1.0,22-23
"('Feeling_stressed', 'Worried_about_future')","('Feeling_stressed',)","('Worried_about_future',)",0.2701612903225806,0.5677966101694915,1.154209502639622,22-23
"('Feeling_stressed', 'Worried_about_future')","('Worried_about_future',)","('Feeling_stressed',)",0.2701612903225806,0.5491803278688524,1.154209502639622,22-23
"('Sleep_problems', 'Worried_about_future')",(),"('Sleep_problems', 'Worried_about_future')",0.2217741935483871,0.2217741935483871,1.0,22-23
"('Sleep_problems', 'Worried_about_future')","('Sleep_problems',)","('Worried_about_future',)",0.2217741935483871,0.5092592592592593,1.0352155434122647,22-23
"('Sleep_problems', 'Worried_about_future')","('Worried_about_future',)","('Sleep_problems',)",0.2217741935483871,0.45081967213114754,1.0352155434122647,22-23
"('Feeling_anxious',)",(),"('Feeling_anxious',)",0.5120967741935484,0.5120967741935484,1.0,20-21
"('Feeling_bored',)",(),"('Feeling_bored',)",0.5403225806451613,0.5403225806451613,1.0,20-21
"('Feeling_lonely',)",(),"('Feeling_lonely',)",0.4879032258064516,0.4879032258064516,1.0,20-21
"('Feeling_stressed',)",(),"('Feeling_stressed',)",0.5161290322580645,0.5161290322580645,1.0,20-21
"('Sleep_problems',)",(),"('Sleep_problems',)",0.5040322580645161,0.5040322580645161,1.0,20-21
"('Worried_about_future',)",(),"('Worried_about_future',)",0.4879032258064516,0.4879032258064516,1.0,20-21
"('Feeling_bored', 'Feeling_anxious')",(),"('Feeling_bored', 'Feeling_anxious')",0.2701612903225806,0.2701612903225806,1.0,20-21
"('Feeling_bored', 'Feeling_anxious')","('Feeling_anxious',)","('Feeling_bored',)",0.2701612903225806,0.5275590551181102,0.9763779527559054,20-21
"('Feeling_bored', 'Feeling_anxious')","('Feeling_bored',)","('Feeling_anxious',)",0.2701612903225806,0.5,0.9763779527559056,20-21
"('Feeling_lonely', 'Feeling_anxious')",(),"('Feeling_lonely', 'Feeling_anxious')",0.24596774193548387,0.24596774193548387,1.0,20-21
"('Feeling_lonely', 'Feeling_anxious')","('Feeling_anxious',)","('Feeling_lonely',)",0.24596774193548387,0.4803149606299213,0.98444719203488,20-21
"('Feeling_lonely', 'Feeling_anxious')","('Feeling_lonely',)","('Feeling_anxious',)",0.24596774193548387,0.5041322314049587,0.98444719203488,20-21
"('Feeling_stressed', 'Feeling_anxious')",(),"('Feeling_stressed', 'Feeling_anxious')",0.25806451612903225,0.25806451612903225,1.0,20-21
"('Feeling_stressed', 'Feeling_anxious')","('Feeling_anxious',)","('Feeling_stressed',)",0.25806451612903225,0.5039370078740157,0.9763779527559056,20-21
"('Feeling_stressed', 'Feeling_anxious')","('Feeling_stressed',)","('Feeling_anxious',)",0.25806451612903225,0.5,0.9763779527559056,20-21
"('Sleep_problems', 'Feeling_anxious')",(),"('Sleep_problems', 'Feeling_anxious')",0.25806451612903225,0.25806451612903225,1.0,20-21
"('Sleep_problems', 'Feeling_anxious')","('Feeling_anxious',)","('Sleep_problems',)",0.25806451612903225,0.5039370078740157,0.9998110236220472,20-21
"('Sleep_problems', 'Feeling_anxious')","('Sleep_problems',)","('Feeling_anxious',)",0.25806451612903225,0.512,0.9998110236220473,20-21
"('Worried_about_future', 'Feeling_anxious')",(),"('Feeling_anxious', 'Worried_about_future')",0.2661290322580645,0.2661290322580645,1.0,20-21
"('Worried_about_future', 'Feeling_anxious')","('Feeling_anxious',)","('Worried_about_future',)",0.2661290322580645,0.5196850393700787,1.0651395848246241,20-21
"('Worried_about_future', 'Feeling_anxious')","('Worried_about_future',)","('Feeling_anxious',)",0.2661290322580645,0.5454545454545454,1.0651395848246241,20-21
"('Feeling_bored', 'Feeling_lonely')",(),"('Feeling_bored', 'Feeling_lonely')",0.2540322580645161,0.2540322580645161,1.0,20-21
"('Feeling_bored', 'Feeling_lonely')","('Feeling_bored',)","('Feeling_lonely',)",0.2540322580645161,0.4701492537313433,0.9636116935981252,20-21
"('Feeling_bored', 'Feeling_lonely')","('Feeling_lonely',)","('Feeling_bored',)",0.2540322580645161,0.5206611570247933,0.963611693598125,20-21
"('Feeling_bored', 'Feeling_stressed')",(),"('Feeling_bored', 'Feeling_stressed')",0.2862903225806452,0.2862903225806452,1.0,20-21
"('Feeling_bored', 'Feeling_stressed')","('Feeling_bored',)","('Feeling_stressed',)",0.2862903225806452,0.5298507462686568,1.0265858208955225,20-21
"('Feeling_bored', 'Feeling_stressed')","('Feeling_stressed',)","('Feeling_bored',)",0.2862903225806452,0.5546875000000001,1.0265858208955227,20-21
"('Feeling_bored', 'Sleep_problems')",(),"('Feeling_bored', 'Sleep_problems')",0.2862903225806452,0.2862903225806452,1.0,20-21
"('Feeling_bored', 'Sleep_problems')","('Feeling_bored',)","('Sleep_problems',)",0.2862903225806452,0.5298507462686568,1.051223880597015,20-21
"('Feeling_bored', 'Sleep_problems')","('Sleep_problems',)","('Feeling_bored',)",0.2862903225806452,0.5680000000000001,1.051223880597015,20-21
"('Feeling_bored', 'Worried_about_future')",(),"('Feeling_bored', 'Worried_about_future')",0.22983870967741934,0.22983870967741934,1.0,20-21
"('Feeling_bored', 'Worried_about_future')","('Feeling_bored',)","('Worried_about_future',)",0.22983870967741934,0.4253731343283582,0.8718391513506846,20-21
"('Feeling_bored', 'Worried_about_future')","('Worried_about_future',)","('Feeling_bored',)",0.22983870967741934,0.47107438016528924,0.8718391513506846,20-21
"('Feeling_stressed', 'Feeling_lonely')",(),"('Feeling_stressed', 'Feeling_lonely')",0.24193548387096775,0.24193548387096775,1.0,20-21
"('Feeling_stressed', 'Feeling_lonely')","('Feeling_lonely',)","('Feeling_stressed',)",0.24193548387096775,0.49586776859504134,0.9607438016528926,20-21
"('Feeling_stressed', 'Feeling_lonely')","('Feeling_stressed',)","('Feeling_lonely',)",0.24193548387096775,0.46875,0.9607438016528925,20-21
"('Sleep_problems', 'Feeling_lonely')",(),"('Sleep_problems', 'Feeling_lonely')",0.24596774193548387,0.24596774193548387,1.0,20-21
"('Sleep_problems', 'Feeling_lonely')","('Feeling_lonely',)","('Sleep_problems',)",0.24596774193548387,0.5041322314049587,1.000198347107438,20-21
"('Sleep_problems', 'Feeling_lonely')","('Sleep_problems',)","('Feeling_lonely',)",0.24596774193548387,0.488,1.000198347107438,20-21
"('Feeling_lonely', 'Worried_about_future')",(),"('Feeling_lonely', 'Worried_about_future')",0.2782258064516129,0.2782258064516129,1.0,20-21
"('Feeling_lonely', 'Worried_about_future')","('Feeling_lonely',)","('Worried_about_future',)",0.2782258064516129,0.5702479338842975,1.1687726248207089,20-21
